#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: 1984-10-31 to 2025-11-25
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 679: Paradise, WA
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth                  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Observed    Value       None           Instantaneous - Start of Day  N/A        Degrees fahrenheit  N/A           TOBS          Instantaneously observed air temperature                                                           
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  K      Estimate            Estimate
#  C      Correction          A different equation has been applied to the original sensor voltage
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
#  M      Missing             Value is missing
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Paradise (679) 
# Washington  SNOTEL Site - 5150 ft
# Reporting Frequency: Daily; Date Range: 1984-10-31 to 2025-11-25
#
# As of: Nov 25, 2025, 2:29:36 PM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Snow Depth (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Observed (degF) Start of Day Values
1985-01-07,45.9,,48.7,32.9
1985-01-08,45.9,,48.7,
1985-01-09,45.9,,48.7,
1985-01-10,45.9,,48.7,23.4
1985-01-11,45.9,,48.7,
1985-01-12,46.0,,48.8,
1985-01-13,46.0,,48.8,
1985-01-14,46.0,,48.8,
1985-01-15,46.5,,49.3,
1985-01-16,46.5,,49.3,
1985-01-17,46.5,,49.3,40.5
1985-01-18,47.0,,49.8,
1985-01-19,47.5,,50.3,29.8
1985-01-20,48.2,,50.8,27.3
1985-01-21,48.2,,50.8,30.7
1985-01-22,48.2,,50.8,
1985-01-23,48.2,,50.8,43.3
1985-01-24,48.2,,50.8,
1985-01-25,48.2,,50.8,27.3
1985-01-26,48.2,,50.8,
1985-01-27,48.2,,50.8,20.5
1985-01-28,48.3,,50.9,
1985-01-29,48.5,,51.0,11.8
1985-01-30,48.6,,51.1,24.1
1985-01-31,48.8,,51.3,12.7
1985-02-01,49.0,,51.4,16.5
1985-02-02,50.4,,52.4,
1985-02-03,50.5,,52.5,
1985-02-04,50.5,,52.5,3.6
1985-02-05,51.1,,52.8,18.7
1985-02-06,51.6,,53.5,19.9
1985-02-07,52.5,,54.3,
1985-02-08,53.5,,55.1,
1985-02-09,53.5,,55.1,18.1
1985-02-10,54.8,,56.4,23.9
1985-02-11,56.2,,57.6,
1985-02-12,57.4,,58.5,16.2
1985-02-13,57.3,,58.9,
1985-02-14,57.2,,60.2,40.8
1985-02-15,57.4,,60.4,
1985-02-16,57.5,,60.5,
1985-02-17,57.6,,60.6,
1985-02-18,57.7,,60.7,
1985-02-19,58.1,,61.0,
1985-02-20,58.1,,61.0,
1985-02-21,58.6,,61.4,
1985-02-22,59.2,,61.8,
1985-02-23,59.2,,61.8,
1985-02-24,59.4,,62.0,
1985-02-25,59.4,,62.0,
1985-02-26,59.4,,62.0,
1985-02-27,59.4,,62.0,25.2
1985-02-28,59.4,,62.0,30.2
1985-03-01,59.4,,62.0,24.8
1985-03-02,60.2,,62.8,11.5
1985-03-03,60.4,,63.0,13.6
1985-03-04,60.8,,63.4,24.1
1985-03-05,60.8,,63.4,20.8
1985-03-06,61.2,,63.8,18.7
1985-03-07,61.2,,63.8,17.2
1985-03-08,60.9,,63.8,18.3
1985-03-09,61.1,,64.1,23.9
1985-03-10,61.1,,64.1,21.4
1985-03-11,61.1,,64.1,26.8
1985-03-12,61.1,,64.1,22.6
1985-03-13,61.1,,64.1,25.0
1985-03-14,61.1,,64.1,25.9
1985-03-15,61.2,,64.3,27.0
1985-03-16,61.2,,64.3,35.8
1985-03-17,61.4,,64.8,34.5
1985-03-18,61.7,,65.6,30.0
1985-03-19,61.7,,65.6,23.9
1985-03-20,62.1,,65.9,25.0
1985-03-21,63.2,,66.8,19.9
1985-03-22,64.1,,67.6,22.3
1985-03-23,64.8,,68.1,29.1
1985-03-24,65.8,,68.7,19.9
1985-03-25,65.8,,69.2,18.1
1985-03-26,66.1,,69.2,19.0
1985-03-27,67.1,,69.7,19.6
1985-03-28,67.3,,69.8,12.7
1985-03-29,67.4,,69.8,19.0
1985-03-30,69.0,,71.2,30.7
1985-03-31,71.0,,72.8,30.0
1985-04-01,71.0,,72.8,32.2
1985-04-02,71.8,,73.9,32.5
1985-04-03,72.4,,74.5,26.8
1985-04-04,72.4,,74.5,26.6
1985-04-05,72.6,,74.7,30.4
1985-04-06,72.3,,74.7,40.3
1985-04-07,72.1,,74.7,40.5
1985-04-08,72.7,,75.3,39.2
1985-04-09,72.7,,75.3,42.1
1985-04-10,72.6,,75.3,43.0
1985-04-11,71.8,,75.3,34.9
1985-04-12,71.3,,75.7,30.2
1985-04-13,70.7,,75.9,38.8
1985-04-14,70.2,,75.9,32.9
1985-04-15,69.9,,75.9,45.3
1985-04-16,69.2,,75.9,30.0
1985-04-17,68.3,,75.9,26.8
1985-04-18,68.4,,76.2,28.0
1985-04-19,68.3,,76.5,19.0
1985-04-20,68.4,,77.2,18.1
1985-04-21,68.4,,77.2,11.3
1985-04-22,68.3,,77.6,22.5
1985-04-23,69.5,,78.5,22.1
1985-04-24,70.3,,79.1,21.9
1985-04-25,71.2,,80.0,19.9
1985-04-26,71.7,,80.5,25.5
1985-04-27,73.5,,82.0,35.4
1985-04-28,74.7,,83.0,29.7
1985-04-29,74.7,,83.0,24.3
1985-04-30,75.0,,83.2,31.3
1985-05-01,74.7,,83.2,44.2
1985-05-02,74.5,,83.2,43.0
1985-05-03,74.4,,83.2,
1985-05-04,74.9,,83.7,25.3
1985-05-05,74.6,,83.7,21.6
1985-05-06,74.0,,83.7,27.1
1985-05-07,74.0,,83.7,27.0
1985-05-08,74.1,,84.0,21.6
1985-05-09,73.7,,84.0,24.3
1985-05-10,73.5,,84.0,31.1
1985-05-11,73.9,,84.4,18.9
1985-05-12,74.1,,84.6,18.0
1985-05-13,73.6,,84.7,33.4
1985-05-14,73.8,,84.9,25.7
1985-05-15,73.9,,85.1,40.1
1985-05-16,73.4,,85.1,50.9
1985-05-17,72.9,,85.1,48.0
1985-05-18,72.5,,85.1,40.5
1985-05-19,72.0,,85.1,38.1
1985-05-20,71.6,,85.1,35.4
1985-05-21,71.5,,85.1,42.3
1985-05-22,71.2,,85.1,45.9
1985-05-23,70.9,,85.1,47.8
1985-05-24,70.9,,85.1,43.0
1985-05-25,69.5,,85.1,36.3
1985-05-26,67.9,,85.2,35.1
1985-05-27,66.7,,85.3,37.4
1985-05-28,65.4,,85.6,34.7
1985-05-29,64.7,,85.6,33.3
1985-05-30,63.9,,86.1,32.0
1985-05-31,63.1,,86.1,41.7
1985-06-01,62.9,,86.1,34.9
1985-06-02,62.3,,86.1,34.2
1985-06-03,61.3,,86.6,39.4
1985-06-04,61.6,,86.7,39.2
1985-06-05,60.9,,87.0,35.1
1985-06-06,59.0,,87.0,36.7
1985-06-07,52.5,,90.0,44.6
1985-06-08,51.9,,90.8,30.9
1985-06-09,52.3,,91.1,37.9
1985-06-10,51.9,,91.2,36.3
1985-06-11,50.7,,91.2,46.9
1985-06-12,49.1,,91.2,44.8
1985-06-13,47.1,,91.2,38.8
1985-06-14,46.1,,91.3,43.2
1985-06-15,44.8,,91.5,37.8
1985-06-16,43.8,,91.8,34.9
1985-06-17,42.1,,91.8,52.5
1985-06-18,39.7,,91.8,58.6
1985-06-19,36.5,,91.8,52.3
1985-06-20,34.1,,91.8,42.3
1985-06-21,32.2,,91.8,41.2
1985-06-22,30.9,,91.8,33.1
1985-06-23,28.9,,91.8,29.8
1985-06-24,28.6,,91.8,31.1
1985-06-25,28.4,,91.8,36.9
1985-06-26,25.6,,91.8,44.4
1985-06-27,23.5,,91.8,41.7
1985-06-28,22.5,,91.8,31.6
1985-06-29,20.6,,91.8,45.5
1985-06-30,18.8,,91.8,39.0
1985-07-01,17.0,,91.8,49.1
1985-07-02,14.1,,91.8,54.3
1985-07-03,11.4,,91.8,50.7
1985-07-04,8.7,,91.8,54.9
1985-07-05,6.5,,91.8,39.4
1985-07-06,4.5,,91.8,43.9
1985-07-07,2.2,,91.8,51.6
1985-07-08,0.0,,91.8,55.4
1985-07-09,0.0,,91.8,56.7
1985-07-10,0.0,,91.8,48.2
1985-07-11,0.0,,91.8,44.1
1985-07-12,0.0,,91.8,43.7
1985-07-13,0.0,,91.8,40.6
1985-07-14,0.0,,91.8,52.5
1985-07-15,0.0,,91.8,46.8
1985-07-16,0.0,,91.8,43.9
1985-07-17,0.0,,91.8,46.6
1985-07-18,0.0,,91.8,59.9
1985-07-19,0.0,,91.8,58.3
1985-07-20,0.0,,91.8,57.7
1985-07-21,0.0,,91.8,51.8
1985-07-22,0.0,,91.8,49.5
1985-07-23,0.0,,91.8,48.7
1985-07-24,0.0,,91.8,46.4
1985-07-25,0.0,,91.8,51.3
1985-07-26,0.0,,91.8,50.5
1985-07-27,0.0,,91.8,52.5
1985-07-28,0.0,,91.8,64.6
1985-07-29,0.0,,91.8,67.5
1985-07-30,0.0,,91.8,50.4
1985-07-31,0.0,,92.1,44.8
1985-08-01,0.0,,92.1,45.3
1985-08-02,0.0,,92.5,45.1
1985-08-03,0.0,,92.5,52.7
1985-08-04,0.0,,92.5,48.4
1985-08-05,0.0,,92.7,41.5
1985-08-06,0.0,,92.9,43.0
1985-08-07,0.0,,92.9,44.4
1985-08-08,0.0,,93.4,36.9
1985-08-09,0.0,,93.4,40.3
1985-08-10,0.0,,93.4,37.9
1985-08-11,0.0,,93.4,37.9
1985-08-12,0.0,,93.4,43.0
1985-08-13,0.0,,93.4,49.5
1985-08-14,0.0,,93.4,50.7
1985-08-15,0.0,,93.4,48.2
1985-08-16,0.0,,93.4,47.8
1985-08-17,0.0,,93.4,53.8
1985-08-18,0.0,,93.4,50.5
1985-08-19,0.0,,93.4,41.9
1985-08-20,0.0,,93.4,36.5
1985-08-21,0.0,,93.4,35.8
1985-08-22,0.0,,93.4,45.7
1985-08-23,0.0,,93.4,54.0
1985-08-24,0.0,,93.4,59.5
1985-08-25,0.0,,93.4,50.5
1985-08-26,0.0,,93.4,51.6
1985-08-27,0.0,,93.4,52.5
1985-08-28,0.0,,93.8,64.0
1985-08-29,0.0,,93.8,45.0
1985-08-30,0.0,,93.8,38.7
1985-08-31,0.0,,93.8,38.7
1985-09-01,0.0,,93.8,44.6
1985-09-02,0.0,,94.1,39.9
1985-09-03,0.0,,94.4,40.3
1985-09-04,0.0,,94.4,42.6
1985-09-05,0.0,,94.6,44.2
1985-09-06,0.0,,95.8,32.9
1985-09-07,0.0,,96.5,32.2
1985-09-08,0.0,,96.5,35.1
1985-09-09,0.0,,96.6,37.8
1985-09-10,0.0,,97.4,36.7
1985-09-11,0.0,,97.4,39.9
1985-09-12,0.0,,97.7,41.5
1985-09-13,0.0,,97.7,48.2
1985-09-14,0.0,,97.8,
1985-09-15,0.0,,97.8,
1985-09-16,0.0,,97.8,
1985-09-17,0.0,,98.0,
1985-09-18,0.0,,98.0,
1985-09-19,0.0,,98.0,
1985-09-20,0.0,,98.1,
1985-09-21,0.0,,98.8,
1985-09-22,0.0,,98.8,
1985-09-23,0.0,,98.8,
1985-09-24,0.0,,98.8,
1985-09-25,0.0,,98.8,
1985-09-26,0.0,,98.8,46.4
1985-09-27,0.0,,98.8,43.9
1985-09-28,0.0,,98.8,33.6
1985-09-29,0.0,,98.8,39.9
1985-09-30,0.0,,98.8,42.3
1985-10-01,0.0,,0.0,45.1
1985-10-02,0.0,,0.0,38.1
1985-10-03,0.0,,0.0,36.1
1985-10-04,0.0,,0.0,43.7
1985-10-05,0.0,,0.0,45.9
1985-10-06,0.0,,0.0,41.7
1985-10-07,0.3,,0.6,25.7
1985-10-08,0.5,,1.1,20.5
1985-10-09,0.4,,1.1,21.6
1985-10-10,0.2,,1.1,36.5
1985-10-11,0.0,,1.5,34.3
1985-10-12,0.7,,2.4,29.3
1985-10-13,0.7,,2.6,25.7
1985-10-14,0.7,,2.6,36.1
1985-10-15,0.0,,4.6,40.8
1985-10-16,0.0,,5.0,36.3
1985-10-17,0.0,,5.1,30.0
1985-10-18,0.0,,5.1,37.6
1985-10-19,0.0,,5.1,38.7
1985-10-20,0.0,,6.8,36.7
1985-10-21,0.0,,7.0,29.1
1985-10-22,0.8,,7.9,29.5
1985-10-23,1.9,,8.9,30.0
1985-10-24,2.8,,9.8,35.6
1985-10-25,2.2,,13.0,32.0
1985-10-26,2.1,,13.4,31.8
1985-10-27,2.2,,14.7,37.8
1985-10-28,2.7,,15.8,22.3
1985-10-29,2.7,,15.8,25.2
1985-10-30,2.7,,15.9,28.8
1985-10-31,3.2,,16.3,23.2
1985-11-01,4.7,,18.0,35.4
1985-11-02,4.5,,20.0,34.3
1985-11-03,4.0,,20.8,38.7
1985-11-04,3.8,,21.8,30.7
1985-11-05,4.5,,22.5,24.1
1985-11-06,6.0,,23.8,31.1
1985-11-07,7.1,,24.8,28.8
1985-11-08,7.5,,25.3,23.4
1985-11-09,8.2,,26.1,20.8
1985-11-10,8.6,,26.6,13.6
1985-11-11,8.6,,26.6,7.9
1985-11-12,8.6,,26.6,16.5
1985-11-13,8.6,,26.6,23.0
1985-11-14,8.6,,26.6,28.9
1985-11-15,8.9,,27.1,32.2
1985-11-16,10.0,,28.1,21.9
1985-11-17,10.5,,28.6,21.2
1985-11-18,11.1,,29.1,12.6
1985-11-19,11.1,,29.2,18.0
1985-11-20,11.8,,30.0,14.9
1985-11-21,12.0,,30.2,8.4
1985-11-22,13.1,,31.2,1.4
1985-11-23,13.3,,31.3,2.7
1985-11-24,13.3,,31.3,9.1
1985-11-25,13.4,,31.3,7.5
1985-11-26,14.1,,32.0,12.7
1985-11-27,14.8,,32.5,20.3
1985-11-28,15.0,,32.8,20.7
1985-11-29,15.1,,32.8,5.0
1985-11-30,15.1,,32.9,1.0
1985-12-01,15.1,,32.9,-1.5
1985-12-02,17.1,,34.9,
1985-12-03,18.1,,35.0,24.4
1985-12-04,18.6,,35.5,33.1
1985-12-05,18.6,,35.5,32.9
1985-12-06,19.5,,36.4,30.0
1985-12-07,20.3,,37.1,30.4
1985-12-08,20.6,,37.5,18.3
1985-12-09,20.6,,37.6,21.0
1985-12-10,20.8,,37.6,20.1
1985-12-11,20.8,,37.6,18.9
1985-12-12,20.8,,37.6,23.0
1985-12-13,20.8,,37.6,23.5
1985-12-14,21.0,,37.6,25.5
1985-12-15,21.0,,37.6,30.6
1985-12-16,21.0,,37.6,31.3
1985-12-17,21.0,,37.6,37.6
1985-12-18,21.0,,37.6,41.2
1985-12-19,21.0,,37.6,45.5
1985-12-20,21.0,,37.6,45.7
1985-12-21,21.0,,37.6,37.0
1985-12-22,20.8,,37.6,41.0
1985-12-23,20.8,,37.6,
1985-12-24,21.0,,37.6,45.1
1985-12-25,21.0,,37.6,47.1
1985-12-26,21.1,,37.6,45.3
1985-12-27,21.1,,37.6,
1985-12-28,21.1,,37.6,
1985-12-29,21.3,,37.6,23.9
1985-12-30,21.8,,38.0,25.3
1985-12-31,21.8,,38.0,29.7
1986-01-01,22.5,,38.5,28.9
1986-01-02,23.3,,39.3,18.5
1986-01-03,24.5,,40.4,23.5
1986-01-04,24.6,,40.4,24.3
1986-01-05,25.5,,41.0,32.5
1986-01-06,27.3,,42.4,22.6
1986-01-07,27.4,,42.5,43.0
1986-01-08,27.7,,42.7,32.0
1986-01-09,28.4,,43.4,32.5
1986-01-10,28.9,,43.9,47.1
1986-01-11,29.3,,44.4,25.7
1986-01-12,29.3,,44.4,39.6
1986-01-13,29.3,,44.4,48.6
1986-01-14,29.3,,44.5,33.4
1986-01-15,29.3,,44.5,29.8
1986-01-16,29.7,,44.9,28.9
1986-01-17,31.3,,46.4,23.9
1986-01-18,32.9,,48.1,39.6
1986-01-19,32.7,,50.6,28.0
1986-01-20,32.5,,50.7,20.1
1986-01-21,32.5,,50.8,22.1
1986-01-22,32.6,,50.9,28.4
1986-01-23,34.3,,52.7,27.7
1986-01-24,34.6,,53.0,
1986-01-25,34.9,,53.4,27.9
1986-01-26,34.8,,53.5,34.9
1986-01-27,34.8,,53.6,36.7
1986-01-28,34.8,,53.9,31.5
1986-01-29,34.9,,54.1,33.4
1986-01-30,34.9,,55.0,34.9
1986-01-31,34.9,,55.3,34.9
1986-02-01,34.9,,55.6,32.2
1986-02-02,34.9,,55.8,29.5
1986-02-03,35.1,,56.2,28.0
1986-02-04,35.2,,56.4,28.9
1986-02-05,36.1,,57.3,22.1
1986-02-06,36.5,,57.6,22.6
1986-02-07,36.6,,57.8,14.9
1986-02-08,36.6,,57.8,
1986-02-09,36.6,,57.8,22.6
1986-02-10,36.7,,57.8,23.0
1986-02-11,36.7,,57.8,21.9
1986-02-12,36.9,,57.8,14.0
1986-02-13,37.3,,58.2,
1986-02-14,38.0,,58.8,28.4
1986-02-15,39.6,,59.7,32.7
1986-02-16,41.3,,61.6,22.8
1986-02-17,42.2,,62.3,15.8
1986-02-18,42.2,,62.7,10.4
1986-02-19,42.3,,62.7,11.8
1986-02-20,42.3,,62.7,17.2
1986-02-21,42.5,,62.9,20.7
1986-02-22,43.6,,64.6,
1986-02-23,46.6,,66.4,34.5
1986-02-24,47.0,,71.2,40.8
1986-02-25,45.5,,71.9,36.0
1986-02-26,45.0,,72.4,52.9
1986-02-27,44.7,,72.4,40.6
1986-02-28,44.7,,72.4,39.0
1986-03-01,44.7,,72.4,34.9
1986-03-02,44.7,,72.5,39.7
1986-03-03,44.7,,72.5,39.9
1986-03-04,44.7,,72.5,
1986-03-05,44.7,,72.5,39.4
1986-03-06,44.7,,72.5,38.1
1986-03-07,44.7,,74.0,
1986-03-08,44.4,,75.0,28.4
1986-03-09,44.3,,75.4,26.6
1986-03-10,44.6,,75.5,29.8
1986-03-11,45.1,,75.9,29.8
1986-03-12,45.6,,76.2,26.4
1986-03-13,46.1,,76.8,
1986-03-14,46.5,,77.0,19.0
1986-03-15,46.7,,77.1,25.9
1986-03-16,46.7,,77.1,34.7
1986-03-17,46.9,,77.1,24.8
1986-03-18,47.5,,77.6,27.1
1986-03-19,48.1,,78.2,30.7
1986-03-20,48.3,,78.2,40.5
1986-03-21,48.5,,78.5,28.0
1986-03-22,49.2,,79.1,20.7
1986-03-23,49.3,,79.1,34.0
1986-03-24,50.9,,80.4,23.9
1986-03-25,50.9,,80.9,23.7
1986-03-26,51.5,,81.5,33.3
1986-03-27,51.5,,81.5,42.4
1986-03-28,51.6,,81.6,34.9
1986-03-29,51.6,,81.6,28.2
1986-03-30,51.9,,81.9,
1986-03-31,52.1,,82.3,21.6
1986-04-01,51.9,,82.3,27.1
1986-04-02,52.3,,83.0,24.6
1986-04-03,52.5,,83.1,27.0
1986-04-04,52.5,,83.1,36.9
1986-04-05,52.7,,83.2,19.0
1986-04-06,52.7,,83.2,33.1
1986-04-07,52.7,,83.2,44.1
1986-04-08,52.7,,83.2,36.1
1986-04-09,52.5,,83.2,30.4
1986-04-10,52.3,,83.5,23.0
1986-04-11,52.3,,83.5,25.2
1986-04-12,53.3,,84.3,22.6
1986-04-13,53.4,,84.6,24.6
1986-04-14,53.6,,84.8,26.8
1986-04-15,54.0,,85.0,
1986-04-16,54.3,,85.3,26.1
1986-04-17,54.8,,85.8,
1986-04-18,55.3,,86.3,23.2
1986-04-19,55.4,,86.3,28.8
1986-04-20,55.5,,86.4,38.1
1986-04-21,54.9,,86.4,
1986-04-22,54.3,,86.4,27.3
1986-04-23,53.3,,86.7,19.9
1986-04-24,53.3,,86.8,20.7
1986-04-25,54.3,,87.5,23.5
1986-04-26,55.3,,88.4,23.5
1986-04-27,56.5,,89.4,30.7
1986-04-28,57.4,,90.2,22.1
1986-04-29,57.9,,90.5,19.2
1986-04-30,58.3,,90.7,20.3
1986-05-01,58.5,,90.7,
1986-05-02,58.8,,90.9,33.4
1986-05-03,58.9,,91.2,30.0
1986-05-04,58.9,,91.3,28.2
1986-05-05,59.1,,91.7,28.2
1986-05-06,60.4,,92.8,25.3
1986-05-07,60.5,,92.9,30.2
1986-05-08,60.6,,93.1,27.5
1986-05-09,60.9,,93.1,30.9
1986-05-10,61.2,,93.6,23.5
1986-05-11,61.7,,94.1,25.2
1986-05-12,62.2,,94.5,30.0
1986-05-13,63.9,,96.2,26.6
1986-05-14,64.5,,96.8,23.5
1986-05-15,64.5,,96.8,22.8
1986-05-16,64.4,,96.9,28.0
1986-05-17,64.1,,96.9,36.5
1986-05-18,63.8,,96.9,41.7
1986-05-19,63.5,,96.9,38.8
1986-05-20,63.6,,97.2,32.0
1986-05-21,61.8,,97.4,26.6
1986-05-22,61.5,,97.7,24.4
1986-05-23,61.5,,97.7,36.3
1986-05-24,60.6,,97.7,
1986-05-25,59.7,,97.7,
1986-05-26,58.8,,97.7,
1986-05-27,57.8,,97.7,
1986-05-28,56.8,,97.7,
1986-05-29,55.8,,97.7,
1986-05-30,54.7,,97.7,59.7
